Cookie ID,Expires / Max-Age (in seconds),Origin,SameParty (if cookie keeps data locally or sends it outside),Purpose,Data Collected ,Cookie Policy,Cookie Banner,Cookie Options,Consent Required,Duration,expiration (in years),Retention compliant,Essential/Non-essential,Banner_compliant,Policy compliant,Is compliant
1,60478299,First-party,True,Functional,Network Type; IP Address; Referring URL; Advertising Preferences; Operating System,"Cookie Policy

Introduction
We use cookies to enhance your experience on our website. By using our site, you consent to our use of cookies.

Managing Cookies
You can control cookies through your browser settings. Blocking cookies may affect website functionality.

What Are Your Rights
To obtain information on your rights concerning the data we collect through cookies and how you can exercise them, please read our Privacy Policy.

Contact Us
For questions, contact us at below email.",True,"Decline All, Accept All, Customize cookies",True,Persistent,1.9177542808219177,True,Essential,True,False,False
2,0,First-party,True,Analytics,Advertising Preferences; Device Information; Visited Pages; Payment Information,"Cookie Policy

Introduction
We use cookies to enhance your experience on our website. By using our site, you consent to our use of cookies.

Types of CookiesHere are some examples of the types of cookies we use:
Essential Cookies: Necessary for website functionality.
Performance Cookies: Help us understand how you use our site.
Functional Cookies: Remember your preferences.
Advertising Cookies: Deliver relevant ads.

Cookie Origin
First-Party Cookies: Set by our website.
Third-Party Cookies: Set by external services.

Third-Party Processing
Some cookies may be managed by third parties who process data on our behalf. Any personal data collected through a third-party cookie is subject to the privacy policy of that third party.

Consent
We obtain your consent for non-essential cookies. You can manage your preferences through our cookie settings.

Managing Cookies
You can control cookies through your browser settings. Blocking cookies may affect website functionality.

What Are Your Rights
To obtain information on your rights concerning the data we collect through cookies and how you can exercise them, please read our Privacy Policy.

Contact Us
For questions, contact us at below email.",True,"Accept All, Customize cookies",True,Persistent,0.0,True,Non-Essential,False,True,False
3,-1,First-party,True,Functional,Flash Version; Referring URL; Operating System; Purchase History; Email Address,"Cookie Policy

Introduction
We use cookies to enhance your experience on our website. By using our site, you consent to our use of cookies.

Types of CookiesHere are some examples of the types of cookies we use:
Essential Cookies: Necessary for website functionality.
Performance Cookies: Help us understand how you use our site.
Functional Cookies: Remember your preferences.
Advertising Cookies: Deliver relevant ads.

Cookie Origin
First-Party Cookies: Set by our website.
Third-Party Cookies: Set by external services.

Contact Us
For questions, contact us at below email.",True,"Decline All, Accept All, Customize cookies",True,Session,-3.1709791983764586e-08,True,Essential,True,False,False
4,0,First-party,True,Service Improvement,Browser; Language Preferences; Download History; ISP; Visited Pages,"Cookie Policy

Introduction
We use cookies to enhance your experience on our website. By using our site, you consent to our use of cookies.

Types of CookiesHere are some examples of the types of cookies we use:
Essential Cookies: Necessary for website functionality.
Performance Cookies: Help us understand how you use our site.
Functional Cookies: Remember your preferences.
Advertising Cookies: Deliver relevant ads.

Cookie Origin
First-Party Cookies: Set by our website.
Third-Party Cookies: Set by external services.

Third-Party Processing
Some cookies may be managed by third parties who process data on our behalf. Any personal data collected through a third-party cookie is subject to the privacy policy of that third party.

Managing Cookies
You can control cookies through your browser settings. Blocking cookies may affect website functionality.

Contact Us
For questions, contact us at below email.",True,"Decline All, Accept All, Customize cookies",True,Session,0.0,True,Essential,True,False,False
5,0,First-party,True,Content Customization,Network Type; Visited Pages; Error Reports; Flash Version,"Cookie Policy

Introduction
We use cookies to enhance your experience on our website. By using our site, you consent to our use of cookies.

Types of CookiesHere are some examples of the types of cookies we use:
Essential Cookies: Necessary for website functionality.
Performance Cookies: Help us understand how you use our site.
Functional Cookies: Remember your preferences.
Advertising Cookies: Deliver relevant ads.

Cookie Origin
First-Party Cookies: Set by our website.
Third-Party Cookies: Set by external services.

Consent
We obtain your consent for non-essential cookies. You can manage your preferences through our cookie settings.

Managing Cookies
You can control cookies through your browser settings. Blocking cookies may affect website functionality.

Contact Us
For questions, contact us at below email.",True,Accept All,True,Session,0.0,True,Non-Essential,False,False,False
6,195683602,First-party,True,Advertising,App Usage; Subscription Status; Payment Information; Session Data; Referring URL,No policy informed,True,"Accept All, Customize cookies",True,Session,6.205086314053779,False,Non-Essential,False,False,False
7,-1,Third-party,True,Customer Support,Clickstream Data; Purchase History; Search Queries; IP Address; Screen Resolution,"Cookie Policy

Introduction
We use cookies to enhance your experience on our website. By using our site, you consent to our use of cookies.

Cookie Origin
First-Party Cookies: Set by our website.
Third-Party Cookies: Set by external services.

What Are Your Rights
To obtain information on your rights concerning the data we collect through cookies and how you can exercise them, please read our Privacy Policy.

Contact Us
For questions, contact us at below email.",True,"Accept All, Customize cookies",True,Persistent,-3.1709791983764586e-08,True,Essential,True,False,False
8,46286086,First-party,True,Operational Efficiency,Network Type; Session Data; App Usage; Email Address; Battery Level,"Cookie Policy

Introduction
We use cookies to enhance your experience on our website. By using our site, you consent to our use of cookies.

Types of CookiesHere are some examples of the types of cookies we use:
Essential Cookies: Necessary for website functionality.
Performance Cookies: Help us understand how you use our site.
Functional Cookies: Remember your preferences.
Advertising Cookies: Deliver relevant ads.

Cookie Origin
First-Party Cookies: Set by our website.
Third-Party Cookies: Set by external services.

Third-Party Processing
Some cookies may be managed by third parties who process data on our behalf. Any personal data collected through a third-party cookie is subject to the privacy policy of that third party.

Consent
We obtain your consent for non-essential cookies. You can manage your preferences through our cookie settings.

Managing Cookies
You can control cookies through your browser settings. Blocking cookies may affect website functionality.

Contact Us
For questions, contact us at below email.",True,"Decline All, Accept All, Customize cookies",False,Session,1.4677221588026381,False,Essential,True,False,False
9,-1,First-party,True,Tracking,App Usage; Local Time; IP Address; Network Type,"Cookie Policy

Introduction
We use cookies to enhance your experience on our website. By using our site, you consent to our use of cookies.

Types of CookiesHere are some examples of the types of cookies we use:
Essential Cookies: Necessary for website functionality.
Performance Cookies: Help us understand how you use our site.
Functional Cookies: Remember your preferences.
Advertising Cookies: Deliver relevant ads.

Third-Party Processing
Some cookies may be managed by third parties who process data on our behalf. Any personal data collected through a third-party cookie is subject to the privacy policy of that third party.

Consent
We obtain your consent for non-essential cookies. You can manage your preferences through our cookie settings.

What Are Your Rights
To obtain information on your rights concerning the data we collect through cookies and how you can exercise them, please read our Privacy Policy.

Contact Us
For questions, contact us at below email.",True,"Decline All, Accept All, Customize cookies",True,Persistent,-3.1709791983764586e-08,True,Non-Essential,False,False,False
10,39229225,First-party,True,Social Media,Login Times; Geolocation; Payment Information; Device Information; Advertising Preferences,"Cookie Policy

Introduction
We use cookies to enhance your experience on our website. By using our site, you consent to our use of cookies.

Types of CookiesHere are some examples of the types of cookies we use:
Essential Cookies: Necessary for website functionality.
Performance Cookies: Help us understand how you use our site.
Functional Cookies: Remember your preferences.
Advertising Cookies: Deliver relevant ads.

Consent
We obtain your consent for non-essential cookies. You can manage your preferences through our cookie settings.

What Are Your Rights
To obtain information on your rights concerning the data we collect through cookies and how you can exercise them, please read our Privacy Policy.

Contact Us
For questions, contact us at below email.",True,"Decline All, Accept All",True,Session,1.2439505644342972,False,Non-Essential,False,False,False
11,0,First-party,True,Service Improvement,ISP; Local Time; Time Spent on Page; Phone Number; Payment Information,"Cookie Policy

Introduction
We use cookies to enhance your experience on our website. By using our site, you consent to our use of cookies.

Types of CookiesHere are some examples of the types of cookies we use:
Essential Cookies: Necessary for website functionality.
Performance Cookies: Help us understand how you use our site.
Functional Cookies: Remember your preferences.
Advertising Cookies: Deliver relevant ads.

Cookie Origin
First-Party Cookies: Set by our website.
Third-Party Cookies: Set by external services.

Consent
We obtain your consent for non-essential cookies. You can manage your preferences through our cookie settings.

Contact Us
For questions, contact us at below email.",True,"Decline All, Accept All, Customize cookies",False,Persistent,0.0,True,Essential,True,False,False
12,0,First-party,True,Customer Support,Geolocation; Flash Version; Error Reports; Operating System; Session Data,"Cookie Policy

Introduction
We use cookies to enhance your experience on our website. By using our site, you consent to our use of cookies.

Types of CookiesHere are some examples of the types of cookies we use:
Essential Cookies: Necessary for website functionality.
Performance Cookies: Help us understand how you use our site.
Functional Cookies: Remember your preferences.
Advertising Cookies: Deliver relevant ads.

Cookie Origin
First-Party Cookies: Set by our website.
Third-Party Cookies: Set by external services.

Consent
We obtain your consent for non-essential cookies. You can manage your preferences through our cookie settings.

Managing Cookies
You can control cookies through your browser settings. Blocking cookies may affect website functionality.

Contact Us
For questions, contact us at below email.",True,"Decline All, Accept All, Customize cookies",True,Session,0.0,True,Essential,True,False,False
